1384248675733,97916295243079,679831000000,-7.661446,5.209783,3.064578,0
1384248675845,97916407364661,679941000000,-7.661446,4.750096,3.371036,1
1384248675956,97916518479163,680051000000,-7.048530,4.750096,2.758120,2
1384248676068,97916630875403,680161000000,-5.669470,3.064578,-0.153229,3
1384248676188,97916749954993,680271000000,-3.983952,0.459687,0.919373,4
1384248676299,97916861008460,680381000000,0.459687,-1.685518,5.363012,5
1384248676385,97916947159583,680491000000,4.290410,-3.983952,9.193734,6
1384248676496,97917058426673,680601000000,7.354988,-8.580819,12.105083,7
1384248676607,97917169602210,680711000000,9.193734,-7.967903,11.185710,8
1384248676719,97917281021888,680821000000,7.814674,-7.661446,7.048530,9
1384248676842,97917404557044,680931000000,7.354988,-5.669470,6.129157,10
1384248676961,97917523545081,681041000000,9.193734,-7.354988,2.298434,11
1384248677047,97917609329993,681151000000,6.282385,-6.129157,3.677494,12
1384248677159,97917721024329,681261000000,6.588843,-5.056554,3.064578,13
