1384267053250,113927173489602,4102896000000,1.379060,-0.153229,9.653421,0
1384267053363,113927286740335,4103006000000,2.145205,-0.612916,10.113108,1
1384267053465,113927388913186,4103116000000,0.919373,-1.072602,10.266337,2
1384267053592,113927515133889,4103226000000,0.153229,-7.201759,10.879252,3
1384267053695,113927618191751,4103336000000,1.838747,-6.129157,9.806650,4
1384267053795,113927718167336,4103446000000,5.516241,-1.379060,9.653421,5
1384267053907,113927830685647,4103556000000,5.516241,2.451663,9.193734,6
1384267054030,113927953244241,4103666000000,4.750096,2.298434,9.806650,7
1384267054141,113928064450296,4103776000000,2.604892,0.306458,9.806650,8
1384267054248,113928171017678,4103886000000,2.298434,-1.072602,9.959879,9
1384267054348,113928271145852,4103996000000,1.991976,1.379060,11.492168,10
1384267054485,113928408383401,4104106000000,1.225831,-0.459687,10.266337,11
1384267054590,113928513577493,4104216000000,1.532289,-0.919373,9.806650,12
1384267054676,113928600003274,4104326000000,1.685518,-0.919373,9.806650,13
1384267054789,113928712826760,4104436000000,2.145205,-0.919373,10.266337,14
1384267054903,113928826657327,4104546000000,1.379060,-0.612916,9.959879,15
1384267055015,113928938687356,4104656000000,4.903325,-4.443638,8.274362,16
1384267055117,113929040860208,4104766000000,1.532289,-0.766145,11.338940,17
1384267055218,113929141415628,4104876000000,1.225831,-0.306458,9.346964,18
